minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
299,2023-05-03T13:57:28.525Z,82161.93735395516,167551.99542115355,6.4,6.4,746.34,6.6,382.98,6.2,1418.81,6.8,746.63,6.0,2106.11,7.0,960.47,1.65,1.65,997.01,1.66,1777.95,1.64,1093.72,1.67,3057.56,1.63,3474.57,1.68,806.5,4.2,4.2,152.74,4.3,2717.01,4.1,1027.87,4.4,1864.81,4.0,1603.62,4.5,1205.19
297,2023-05-03T13:59:19.774Z,82183.38633989808,167542.55397855188,6.4,6.4,744.08,6.6,382.98,6.2,1418.81,6.8,746.63,6.0,2103.14,7.0,960.47,1.66,1.65,997.01,1.66,1767.22,1.64,1093.72,1.67,3048.87,1.63,3474.57,1.68,884.3,4.2,4.2,152.74,4.3,2717.01,4.1,1056.21,4.4,1861.51,4.0,1575.28,4.5,1208.42
296,2023-05-03T14:00:18.751Z,82149.60727742326,167462.43524883536,6.4,6.4,764.75,6.6,382.71,6.2,1397.25,6.8,746.09,6.0,2102.39,7.0,960.37,1.65,1.65,995.13,1.66,1766.8,1.64,1093.63,1.67,3127.99,1.63,3472.78,1.68,803.36,4.2,4.2,152.74,4.3,2714.64,4.1,1055.35,4.4,1891.86,4.0,1574.66,4.5,1177.64
295,2023-05-03T14:01:57.172Z,82154.13817001336,167434.40639825814,6.4,6.4,763.33,6.6,382.71,6.2,1316.86,6.8,746.09,6.0,2102.39,7.0,960.37,1.65,1.65,995.13,1.66,1766.8,1.64,1093.63,1.67,3122.47,1.63,3472.78,1.68,808.79,4.3,4.2,152.74,4.3,2713.51,4.1,1055.35,4.4,1889.79,4.0,1574.66,4.5,1179.61
294,2023-05-03T14:01:57.172Z,82154.13817001336,167458.57540018973,6.4,6.4,763.33,6.6,382.71,6.2,1397.25,6.8,746.09,6.0,2102.39,7.0,960.37,1.65,1.65,995.13,1.66,1766.8,1.64,1093.63,1.67,3122.47,1.63,3472.78,1.68,808.79,4.3,4.2,152.74,4.3,2713.51,4.1,1055.35,4.4,1889.79,4.0,1574.66,4.5,1179.61
293,2023-05-03T14:01:57.172Z,82154.13817001336,167458.57540018973,6.4,6.4,763.33,6.6,382.71,6.2,1397.25,6.8,746.09,6.0,2102.39,7.0,960.37,1.65,1.65,995.13,1.66,1766.8,1.64,1093.63,1.67,3122.47,1.63,3472.78,1.68,808.79,4.3,4.2,152.74,4.3,2713.51,4.1,1055.35,4.4,1889.79,4.0,1574.66,4.5,1179.61
292,2023-05-03T14:05:12.110Z,82182.59427138072,167429.675670747,6.4,6.4,763.33,6.6,382.71,6.2,1316.86,6.8,746.09,6.0,2157.13,7.0,960.37,1.66,1.65,995.13,1.66,1765.9,1.64,1093.63,1.67,3122.47,1.63,3472.78,1.68,808.79,4.3,4.2,152.74,4.3,2700.18,4.1,1055.35,4.4,1889.79,4.0,1574.66,4.5,1179.61
291,2023-05-03T14:05:14.619Z,82293.80804013652,167384.59931953382,6.4,6.4,763.33,6.6,385.61,6.2,1344.02,6.8,730.35,6.0,2102.14,7.0,960.37,1.65,1.65,941.83,1.66,1777.43,1.64,1093.63,1.67,3111.01,1.63,3472.78,1.68,820.18,4.2,4.2,157.29,4.3,2679.73,4.1,1055.35,4.4,1909.77,4.0,1574.66,4.5,1160.07
290,2023-05-03T14:07:15.357Z,82624.49077837176,167167.59200287404,6.4,6.4,763.33,6.6,385.61,6.2,1452.74,6.8,690.23,6.0,1832.4,7.0,955.9,1.65,1.65,776.49,1.66,982.35,1.64,1093.63,1.67,3901.32,1.63,3472.78,1.68,820.17,4.2,4.2,157.29,4.3,2616.28,4.1,1055.35,4.4,1971.77,4.0,1574.66,4.5,1099.45
289,2023-05-03T14:07:15.357Z,82624.49077837176,165555.99435282068,6.4,6.4,763.33,6.6,385.61,6.2,1452.74,6.8,690.23,6.0,1832.4,7.0,816.6,1.65,1.65,776.49,1.66,982.35,1.64,1093.63,1.67,3901.32,1.63,3472.78,1.68,820.17,4.2,4.2,157.29,4.3,2616.28,4.1,1055.35,4.4,1971.77,4.0,1385.74,4.5,1099.45
