minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
387,2023-05-28T10:28:23.349Z,123140.56981595966,217501.78417489823,1.26,1.25,1670.25,1.26,137.25,1.24,2547.72,1.27,833.32,1.23,6034.22,1.28,3026.1,16.0,15.5,122.18,18.0,339.54,15.0,56.54,,,,,,,7.0,6.6,176.66,7.4,351.12,6.4,514.83,,,,,,
386,2023-05-28T10:29:40.959Z,123488.09342795968,217060.26196942537,1.26,1.25,1670.25,1.27,662.58,1.24,2528.34,1.28,2935.8,1.23,5899.54,,,16.0,14.5,194.87,17.5,132.0,14.0,44.32,,,,,,,7.0,6.6,166.5,7.4,112.06,6.4,509.26,,,,,,
385,2023-05-28T10:29:40.959Z,123488.09342795968,217115.14023159767,1.26,1.25,1670.25,1.27,672.6,1.24,2528.34,1.28,2935.8,1.23,6034.22,,,16.0,14.5,203.68,17.5,132.0,14.0,44.32,,,,,,,7.0,6.6,166.5,7.4,112.06,6.4,511.25,,,,,,
384,2023-05-28T10:29:40.959Z,123488.09342795968,217115.14023159767,1.26,1.25,1670.25,1.27,672.6,1.24,2528.34,1.28,2935.8,1.23,6034.22,,,16.0,14.5,203.68,17.5,132.0,14.0,44.32,,,,,,,7.0,6.6,166.5,7.4,112.06,6.4,511.25,,,,,,
383,2023-05-28T10:33:50.087Z,123506.5436240309,217266.5052341208,1.25,1.25,1670.07,1.27,857.62,1.24,2330.07,1.28,2713.6,1.23,5899.74,,,16.0,14.5,202.08,17.5,141.98,,,18.0,210.8,,,,,7.0,6.6,159.07,7.4,162.09,6.4,511.25,,,,,,
382,2023-05-28T10:33:50.087Z,123506.5436240309,217267.578969753,1.25,1.25,1670.07,1.27,857.62,1.24,2330.07,1.28,2713.6,1.23,5899.74,,,16.0,14.5,202.08,17.5,143.17,,,18.0,210.8,,,,,7.0,6.6,159.07,7.4,162.09,6.4,511.25,,,,,,
381,2023-05-28T10:37:23.108Z,123521.28056526012,207208.76946053965,1.25,1.25,1241.64,1.27,847.6,1.24,958.32,1.28,1920.12,1.23,3023.24,,,16.0,14.5,170.56,18.0,141.01,,,,,,,,,7.0,6.6,159.07,7.4,152.24,6.4,456.39,,,,,,
380,2023-05-28T10:37:23.108Z,123521.28056526012,209697.16028516385,1.25,1.25,1391.36,1.27,857.62,1.24,2337.22,1.28,1961.09,1.23,3256.89,,,16.0,14.5,177.56,17.5,141.98,,,18.0,58.43,,,,,7.0,6.6,159.07,7.4,130.57,6.4,470.64,,,,,,
379,2023-05-28T10:37:23.108Z,123521.28056526012,207205.3838200397,1.25,1.25,1241.64,1.27,847.6,1.24,958.32,1.28,1920.12,1.23,3023.24,,,16.0,14.5,170.56,18.0,141.01,,,,,,,,,7.0,6.6,159.07,7.4,152.24,6.4,456.39,,,,,,
378,2023-05-28T10:39:22.823Z,123528.20717726012,205024.1324662885,1.25,1.25,1241.64,1.27,1452.6,1.24,679.83,1.28,887.16,1.23,1551.81,,,16.0,14.5,153.28,18.0,125.79,,,,,,,,,7.0,6.6,173.3,7.4,111.42,6.4,508.07,,,,,,
