minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,away_last_price_traded,draw_last_price_traded,home_back_1_price,home_back_2_price,home_back_3_price,away_back_1_price,away_back_2_price,away_back_3_price,draw_back_1_price,draw_back_2_price,draw_back_3_price,home_back_1_size,home_back_2_size,home_back_3_size,away_back_1_size,away_back_2_size,away_back_3_size,draw_back_1_size,draw_back_2_size,draw_back_3_size,home_lay_1_price,home_lay_2_price,home_lay_3_price,away_lay_1_price,away_lay_2_price,away_lay_3_price,draw_lay_1_price,draw_lay_2_price,draw_lay_3_price,home_lay_1_size,home_lay_2_size,home_lay_3_size,away_lay_1_size,away_lay_2_size,away_lay_3_size,draw_lay_1_size,draw_lay_2_size,draw_lay_3_size
27,2023-10-01T10:31:32.345Z,206158.65451258616,189400.37650567348,2.0,4.0,4.0,1.98,1.97,1.96,4.0,3.95,3.9,3.95,3.9,3.85,1922.37,3414.08,9417.37,3414.81,1538.76,2989.9,1878.93,2525.19,1487.28,2.0,2.02,2.04,4.1,4.2,4.3,4.0,4.1,4.2,1814.42,9721.63,9213.97,507.37,2922.08,3046.71,573.77,3514.33,2718.81
26,2023-10-01T10:32:01.085Z,206296.04789180274,182554.47196517728,1.99,4.0,4.0,1.98,1.97,1.96,4.0,3.95,3.9,3.95,3.9,3.85,1126.38,3739.74,9262.39,3446.04,1391.92,3211.43,1878.93,2511.54,1478.84,1.99,2.0,2.02,4.1,4.2,4.3,4.0,4.1,4.2,474.88,1495.1,9965.87,463.53,3137.95,3082.13,573.77,3008.51,3046.95
25,2023-10-01T10:34:38.672Z,208315.53655280755,194618.4319040401,1.98,4.2,3.95,1.98,1.97,1.96,4.0,3.95,,3.95,3.9,3.85,177.48,1605.54,9558.54,3459.07,1492.14,,2089.74,1983.08,2931.21,1.99,2.0,2.02,4.2,4.3,4.4,4.0,4.1,4.2,2892.06,4245.11,9995.23,2237.58,4122.0,2413.21,380.78,2544.75,4128.86
24,2023-10-01T10:35:03.739Z,208345.79510553097,194896.80870350768,1.99,4.1,3.95,1.98,1.97,1.96,4.0,3.95,3.9,3.95,3.9,3.85,236.05,1605.54,9558.54,3437.43,1500.9,5384.67,2089.74,2041.08,2785.96,1.99,2.0,2.02,4.2,4.3,4.4,4.0,4.1,4.2,2861.2,4245.11,10116.7,2219.2,4147.63,2315.27,354.56,2592.0,4133.59
23,2023-10-01T10:34:11.997Z,208243.85074360218,194293.85829996102,1.98,4.2,3.95,1.98,1.97,1.96,4.0,3.95,,3.95,3.9,3.85,197.0,1605.54,9459.68,3459.07,1590.25,,2094.35,1983.08,2655.55,1.99,2.0,2.02,4.2,4.3,4.4,4.0,4.1,4.2,2327.34,4226.79,10075.0,2212.36,4162.53,2413.21,380.78,2554.18,4119.66
22,2023-10-01T10:36:31.517Z,209988.563767982,196061.42900103776,1.98,4.1,4.0,1.97,1.96,1.95,4.0,3.95,3.9,3.95,3.9,3.85,3435.97,9430.9,2672.59,3501.98,1694.36,4997.35,2017.61,2071.08,3013.35,1.99,2.0,,4.2,4.3,4.4,4.0,4.1,4.2,3282.06,4859.98,,3160.03,3416.73,2176.79,323.53,2518.62,4296.23
21,2023-10-01T10:38:28.074Z,210515.82048979666,199231.3383086898,1.98,4.1,4.0,1.97,1.96,1.95,4.0,3.95,,3.95,3.9,3.85,5370.57,9430.9,2553.87,3996.63,2001.04,,2017.61,2054.08,2869.8,1.98,1.99,2.0,4.2,4.3,4.4,4.0,4.1,4.2,1357.03,1712.61,4892.75,3382.98,3174.83,2273.17,365.35,2602.03,4647.96
20,2023-10-01T10:38:15.861Z,210490.20098159992,196635.73840820597,1.98,4.1,4.0,1.97,1.96,1.95,4.0,3.95,3.9,3.95,3.9,3.85,3483.27,9543.17,2195.17,3783.73,2125.41,4599.48,2033.82,2092.3,2799.0,1.98,1.99,2.0,4.2,4.3,,4.0,4.1,4.2,1357.03,1530.43,4892.75,3223.92,3345.11,,240.88,2526.23,4634.06
19,2023-10-01T10:40:15.207Z,215343.5722598744,194251.27336169066,1.98,4.1,4.0,1.97,1.96,1.95,4.1,4.0,3.95,3.95,3.9,3.85,5348.46,9714.3,3735.27,248.43,2440.09,1800.53,1907.33,1978.1,2309.56,1.98,1.99,2.0,4.2,4.3,4.4,4.0,4.1,4.2,516.22,1896.63,4831.71,3261.8,3040.89,2227.2,941.28,2381.18,3643.59
18,2023-10-01T10:40:15.207Z,215343.5722598744,193563.88779819952,1.98,4.1,4.0,1.97,1.96,1.95,4.1,4.0,3.95,3.95,3.9,3.85,5348.46,9615.46,3802.86,663.33,2697.55,1577.71,1907.33,1978.1,2730.66,1.98,1.99,2.0,4.2,4.3,4.4,4.0,4.1,4.2,1892.3,2751.45,4831.71,3079.3,2989.18,2281.92,941.28,2796.08,3238.57
17,2023-10-01T10:40:57.949Z,215343.97335263793,192322.6846285149,1.98,4.1,4.0,1.97,1.96,1.95,4.1,4.0,3.95,3.95,3.9,3.85,1919.04,9466.63,3726.04,1513.65,2697.55,1413.01,1907.33,1978.1,2959.45,1.98,1.99,2.0,4.2,4.3,4.4,4.0,4.1,4.2,1892.3,4503.37,4831.71,2453.57,3570.82,2482.12,941.28,3646.41,3013.18
16,2023-10-01T10:42:13.137Z,215975.41802899147,191874.69046116027,1.97,4.1,4.0,1.97,1.96,1.95,4.1,4.0,3.95,3.95,3.9,3.85,1564.62,8165.94,4298.1,1513.53,2969.74,1616.2,2355.66,1978.1,2274.06,1.98,1.99,2.0,4.2,4.3,4.4,4.0,4.1,4.2,2452.42,4503.12,7798.92,1588.74,4401.37,2382.01,941.28,3646.28,3214.01
15,2023-10-01T10:43:57.643Z,222557.40302418012,207543.37347517133,1.97,4.2,4.0,1.97,1.96,1.95,4.1,4.0,3.95,3.95,3.9,3.85,3716.41,5065.23,2779.6,1697.3,2791.08,1897.13,1937.63,1968.43,3726.08,1.98,1.99,2.0,4.2,4.3,4.4,4.0,4.1,4.2,2860.6,5237.12,8443.29,4532.97,4074.89,2381.07,849.54,4023.89,2583.96
14,2023-10-01T10:44:02.948Z,222563.02722418014,207292.1794365882,1.98,4.2,4.0,1.97,1.96,1.95,4.1,4.0,3.95,3.95,3.9,3.85,3750.46,5065.23,2779.6,1697.3,2791.08,1913.63,1937.63,1968.43,3743.01,1.98,1.99,2.0,4.2,4.3,4.4,4.0,4.1,4.2,2893.52,5237.12,8443.29,4498.99,4108.08,2381.07,849.54,4023.89,2599.94
