minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
15,2023-05-27T18:43:43.318Z,24027.33431618876,86083.21385698755,2.32,2.32,530.37,2.36,122.58,2.3,998.35,2.38,843.26,2.28,4285.04,,,3.55,3.5,246.0,3.55,146.91,3.45,187.17,3.6,154.25,3.4,3248.97,3.65,753.0,3.45,3.4,633.23,3.5,1306.6,3.35,1397.07,3.55,1486.23,3.3,114.0,3.6,1024.91
14,2023-05-27T18:44:43.870Z,24303.89373741929,94578.44505550285,2.36,2.32,3075.82,2.38,1042.94,2.3,4314.15,2.4,319.88,,,,,3.55,3.5,268.66,3.6,822.41,3.45,157.88,3.65,2122.07,3.4,1188.75,,,3.45,3.4,600.68,3.5,1564.95,3.35,1378.56,3.55,1459.09,3.3,364.7,,
13,2023-05-27T18:45:18.454Z,24374.400517337,95829.07310762416,2.36,2.32,3023.99,2.36,409.67,2.3,4599.13,2.38,1205.73,,,2.4,429.9,3.55,3.5,390.95,3.55,254.1,3.45,170.29,3.6,686.95,3.4,1554.1,3.65,2138.46,3.5,3.4,612.31,3.5,1629.93,3.35,1555.31,3.55,1607.44,,,3.6,1300.57
12,2023-05-27T18:45:45.137Z,24376.12928161484,96210.25610112963,2.36,2.32,2583.78,2.36,409.67,2.3,4597.8,2.38,1286.59,,,2.4,429.9,3.55,3.5,410.51,3.55,250.12,3.45,170.29,3.6,685.37,3.4,1595.74,3.65,2134.41,3.5,3.4,612.31,3.5,1711.8,3.35,1555.31,3.55,1635.62,,,3.6,883.57
11,2023-05-27T18:47:03.560Z,26825.320127409203,104860.7511958418,2.34,2.32,2499.56,2.34,264.21,2.3,2964.64,2.36,1686.87,2.28,8609.43,2.38,200.6,3.6,3.55,3000.48,3.65,2130.88,3.5,651.3,3.7,1836.94,3.45,531.7,,,3.4,3.4,561.08,3.45,281.59,3.35,1315.21,3.5,3124.83,3.3,851.1,3.55,2338.84
10,2023-05-27T18:47:43.469Z,27722.25878280979,106403.88267517246,2.34,2.32,2909.38,2.36,1271.6,2.3,3423.91,2.38,644.45,2.28,7773.46,,,3.55,3.55,2977.07,3.65,2146.12,3.5,480.26,3.7,1786.38,3.45,727.14,,,3.45,3.4,553.08,3.45,324.81,3.35,1352.77,3.5,3332.95,3.3,357.96,3.55,2121.53
9,2023-05-27T18:49:08.650Z,28049.48134045129,110084.21304762443,2.34,2.32,2921.76,2.36,1232.35,2.3,3453.91,2.38,864.96,,,2.4,1908.74,3.55,3.55,3008.14,3.6,133.81,3.5,511.82,3.65,1900.96,3.45,813.56,3.7,1863.06,3.45,3.4,553.45,3.45,527.69,3.35,1371.09,3.5,3318.67,3.3,263.83,3.55,2128.15
8,2023-05-27T18:51:21.196Z,29573.18658300088,93920.90873393936,2.36,2.36,591.11,2.38,698.73,2.34,644.98,2.4,2456.01,2.32,365.55,2.42,878.6,3.55,3.55,2879.34,3.6,212.78,3.5,636.39,3.65,1426.45,3.45,615.71,3.7,1197.4,3.4,3.35,1589.67,3.4,484.82,3.3,570.39,3.45,1188.84,3.25,943.09,3.5,2113.34
7,2023-05-27T18:51:43.429Z,29676.318424230238,104871.81508749408,2.36,2.36,452.48,2.38,2682.76,2.34,637.15,2.4,5172.88,2.32,583.26,2.42,1810.29,3.6,3.55,2879.34,3.6,210.49,3.5,466.68,3.65,1327.08,3.45,1238.05,3.7,1136.36,3.4,3.35,1598.87,3.4,369.73,3.3,553.52,3.45,612.54,3.25,1253.0,3.5,1805.53
6,2023-05-27T18:53:01.148Z,32843.91080365199,105594.53565556738,2.34,2.32,559.25,2.36,926.7,2.3,1555.85,2.38,310.69,2.28,11359.85,2.4,2376.51,3.6,3.55,2426.51,3.6,520.24,3.5,237.12,3.65,1094.51,3.45,571.52,3.7,888.7,3.45,3.4,285.65,3.5,2003.47,3.35,1912.1,3.55,2920.82,3.3,477.78,,
