minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
15,2023-05-27T18:43:49.122Z,61766.825211999865,90661.15615700536,1.78,1.78,601.13,1.8,616.04,1.77,1916.42,1.81,2466.17,1.76,2662.87,1.82,4481.78,4.7,4.6,459.08,4.7,223.33,4.5,1012.09,4.8,586.24,4.4,1596.28,4.9,1220.42,4.4,4.4,482.11,4.5,475.48,4.3,1201.57,4.6,879.43,4.2,843.87,4.7,673.43
14,2023-05-27T18:44:27.156Z,61815.356272768935,93007.90073288527,1.78,1.78,601.13,1.8,616.04,1.77,1916.42,1.81,2475.02,1.76,2616.93,1.82,4463.54,4.7,4.6,476.34,4.7,206.13,4.5,875.99,4.8,586.24,4.4,1757.05,4.9,1222.54,4.4,4.4,484.47,4.5,475.48,4.3,1182.77,4.6,896.69,4.2,886.06,4.7,656.54
13,2023-05-27T18:46:32.479Z,61849.27314993527,98734.31639569366,1.78,1.78,582.93,1.8,479.42,1.77,1772.42,1.81,1853.02,1.76,2298.87,1.82,4840.0,4.7,4.6,476.34,4.8,803.31,4.5,726.44,4.9,828.25,4.4,1856.81,,,4.5,4.4,383.3,4.5,477.89,4.3,972.55,4.6,825.69,4.2,1043.63,4.7,595.42
12,2023-05-27T18:46:54.425Z,61855.71344956938,100642.68615065116,1.78,1.78,603.6,1.8,646.87,1.77,1927.57,1.81,2095.77,1.76,3175.3,1.82,4787.36,4.7,4.6,476.34,4.7,339.05,4.5,863.94,4.8,672.62,4.4,1787.35,4.9,908.74,4.5,4.4,481.3,4.5,476.96,4.3,1238.72,4.6,896.1,4.2,975.7,4.7,661.68
11,2023-05-27T18:46:54.425Z,61855.71344956938,100878.48242902964,1.78,1.78,603.6,1.8,646.66,1.77,1927.57,1.81,2091.25,1.76,3175.3,1.82,4787.36,4.7,4.6,476.34,4.7,339.05,4.5,863.85,4.8,672.62,4.4,1787.44,4.9,908.74,4.5,4.4,481.3,4.5,476.96,4.3,1238.63,4.6,896.1,4.2,975.79,4.7,661.68
10,2023-05-27T18:46:54.425Z,61855.71344956938,98891.7183530768,1.78,1.78,579.71,1.8,476.06,1.77,1771.52,1.81,1853.02,1.76,2235.13,1.82,4839.99,4.7,4.6,476.34,4.8,802.12,4.5,726.28,4.9,829.42,4.4,1813.45,,,4.5,4.4,383.3,4.5,477.89,4.3,972.55,4.6,825.1,4.2,1042.19,4.7,585.64
9,2023-05-27T18:48:20.789Z,62197.52142282352,99720.46725727658,1.78,1.78,506.79,1.8,632.74,1.77,1749.06,1.81,2358.39,1.76,2337.02,1.82,4673.88,4.7,4.6,476.34,4.7,136.76,4.5,938.86,4.8,732.4,4.4,1581.7,4.9,917.61,4.5,4.4,452.02,4.5,450.05,4.3,1072.16,4.6,800.28,4.2,970.91,4.7,557.79
8,2023-05-27T18:51:11.877Z,64857.56885256717,96607.28663896056,1.78,1.77,1462.9,1.78,118.0,1.76,2110.0,1.79,322.13,1.75,2074.25,1.8,834.82,4.6,4.6,636.05,4.8,598.08,4.5,632.38,4.9,1254.02,4.4,1952.15,,,4.5,4.4,670.38,4.5,185.86,4.3,894.81,4.6,916.91,4.2,1365.25,4.7,183.18
7,2023-05-27T18:52:34.431Z,64992.41406873056,97865.42030464,1.78,1.77,1637.51,1.78,101.78,1.76,1794.86,1.79,625.23,1.75,2467.22,1.8,482.73,4.8,4.7,115.44,4.8,823.51,4.6,462.89,4.9,1247.4,4.5,690.49,5.0,596.92,4.5,4.4,622.78,4.5,313.41,4.3,913.03,4.6,792.43,4.2,1203.51,4.7,258.71
6,2023-05-27T18:53:22.986Z,65307.19940404803,97937.77350484676,1.78,1.77,1759.74,1.79,401.87,1.76,1859.5,1.8,494.77,1.75,2444.96,,,4.7,4.6,428.48,4.8,872.91,4.5,723.28,4.9,1241.97,,,5.0,645.5,4.5,4.4,622.64,4.5,205.69,4.3,890.54,4.6,854.56,4.2,1202.75,4.7,433.33
