minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
177,2023-05-07T10:00:00.622Z,29577.50271033753,64794.77983571029,2.54,2.52,1101.37,2.54,103.04,2.5,803.94,2.56,209.57,2.48,440.94,2.58,1378.6,3.15,3.1,708.51,3.2,1779.5,3.05,1256.77,3.25,1005.8,3.0,1524.21,,,3.5,3.45,1305.73,3.5,141.37,3.4,486.65,3.55,443.07,3.35,523.94,3.6,893.53
176,2023-05-07T10:00:57.507Z,29578.86092179029,65124.91644520559,2.52,2.52,1100.7,2.54,103.04,2.5,803.94,2.56,209.57,2.48,440.94,2.58,1378.6,3.15,3.1,708.51,3.2,1778.97,3.05,1256.77,3.25,1005.8,3.0,1524.21,,,3.5,3.45,1305.73,3.5,141.37,3.4,486.65,3.55,443.07,3.35,523.94,3.6,893.53
175,2023-05-07T10:00:57.507Z,29578.86092179029,66096.911702443,2.52,2.52,1100.7,2.54,103.04,2.5,803.94,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,708.51,3.2,1778.97,3.05,1256.77,3.25,1005.8,3.0,1605.96,,,3.5,3.45,1305.73,3.5,141.37,3.4,486.65,3.55,443.07,3.35,455.88,3.6,893.53
174,2023-05-07T10:00:57.507Z,29578.86092179029,66495.94625731667,2.52,2.52,1100.7,2.54,103.04,2.5,812.0,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,708.51,3.2,1778.97,3.05,1258.38,3.25,1012.0,3.0,1800.73,,,3.5,3.45,1305.73,3.5,141.37,3.4,486.65,3.55,444.45,3.35,455.88,3.6,893.53
173,2023-05-07T10:00:57.507Z,29578.86092179029,66495.94625731667,2.52,2.52,1100.7,2.54,103.04,2.5,812.0,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,708.51,3.2,1778.97,3.05,1258.38,3.25,1012.0,3.0,1800.73,,,3.5,3.45,1305.73,3.5,141.37,3.4,486.65,3.55,444.45,3.35,455.88,3.6,893.53
172,2023-05-07T10:04:42.976Z,29665.44308179029,65524.99897405795,2.52,2.52,1143.99,2.54,139.6,2.5,713.82,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,738.47,3.2,1735.68,3.05,1311.95,3.25,1015.11,3.0,1743.28,,,3.5,3.45,1266.2,3.5,141.37,3.4,478.46,3.55,441.91,3.35,401.21,3.6,893.53
171,2023-05-07T10:04:42.976Z,29665.44308179029,65524.99897405795,2.52,2.52,1143.99,2.54,139.6,2.5,713.82,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,738.47,3.2,1735.68,3.05,1311.95,3.25,1015.11,3.0,1743.28,,,3.5,3.45,1266.2,3.5,141.37,3.4,478.46,3.55,441.91,3.35,401.21,3.6,893.53
170,2023-05-07T10:04:42.976Z,29665.44308179029,65783.11202721256,2.52,2.52,1143.99,2.54,139.6,2.5,713.82,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,738.47,3.2,1735.68,3.05,1311.95,3.25,1015.11,3.0,1743.28,,,3.5,3.45,1266.2,3.5,141.37,3.4,524.1,3.55,441.91,3.35,455.88,3.6,893.53
169,2023-05-07T10:04:42.976Z,29665.44308179029,66660.6819417804,2.52,2.52,1143.99,2.54,139.6,2.5,713.82,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,738.47,3.2,1735.68,3.05,1311.95,3.25,1015.11,3.0,1749.52,,,3.5,3.45,1266.2,3.5,141.37,3.4,583.38,3.55,441.91,3.35,458.89,3.6,893.53
168,2023-05-07T10:08:59.389Z,29667.69788179029,66638.99925227513,2.52,2.52,1142.86,2.54,139.6,2.5,713.82,2.56,120.51,2.48,440.94,2.58,1378.6,3.15,3.1,738.47,3.2,1734.79,3.05,1311.95,3.25,1015.11,3.0,1747.23,,,3.5,3.45,1266.2,3.5,141.37,3.4,583.38,3.55,441.91,3.35,458.89,3.6,893.53
