minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,away_last_price_traded,draw_last_price_traded,home_back_1_price,home_back_2_price,home_back_3_price,away_back_1_price,away_back_2_price,away_back_3_price,draw_back_1_price,draw_back_2_price,draw_back_3_price,home_back_1_size,home_back_2_size,home_back_3_size,away_back_1_size,away_back_2_size,away_back_3_size,draw_back_1_size,draw_back_2_size,draw_back_3_size,home_lay_1_price,home_lay_2_price,home_lay_3_price,away_lay_1_price,away_lay_2_price,away_lay_3_price,draw_lay_1_price,draw_lay_2_price,draw_lay_3_price,home_lay_1_size,home_lay_2_size,home_lay_3_size,away_lay_1_size,away_lay_2_size,away_lay_3_size,draw_lay_1_size,draw_lay_2_size,draw_lay_3_size
23,2023-10-08T11:35:32.764Z,295869.097012511,229853.5090973013,1.71,5.6,4.2,1.71,1.7,1.69,5.6,5.5,5.4,4.1,4.0,3.95,3683.21,4991.21,9121.37,622.21,1085.93,1472.79,2529.47,4374.93,1998.71,1.72,1.73,1.74,5.7,5.8,5.9,4.3,4.4,4.5,3200.14,7030.88,9198.49,750.47,1361.21,1878.15,4966.19,2730.69,2940.73
22,2023-10-08T11:36:00.630Z,296032.2076013476,233015.5507032847,1.71,5.6,4.2,1.7,1.69,1.68,5.6,5.5,5.4,4.1,4.0,3.95,5387.68,9520.06,17569.81,1123.78,1086.35,1485.39,2897.35,4487.98,1569.73,1.72,1.73,1.74,5.7,5.8,5.9,4.3,4.4,4.5,3320.99,6891.09,9937.31,1076.63,1365.27,1298.11,5070.89,3152.01,2538.87
21,2023-10-08T11:37:57.528Z,297066.66010712367,230814.52622376307,1.7,5.7,4.2,1.7,1.69,1.68,5.6,5.5,5.4,4.1,4.0,3.95,5349.46,11215.12,17382.82,1169.93,1005.29,1497.87,2794.88,4777.83,1169.34,1.72,1.73,,5.7,5.8,5.9,4.3,4.4,4.5,3075.86,6663.33,,1349.13,1224.84,1534.19,5146.4,3040.76,2548.82
20,2023-10-08T11:37:40.717Z,297040.0976619708,230710.93568483842,1.7,5.7,4.2,1.7,1.69,1.68,5.6,5.5,5.4,4.1,4.0,3.95,5361.5,11215.12,17382.82,1169.93,1005.29,1497.87,2742.44,4833.34,1113.13,1.72,1.73,,5.7,5.8,5.9,4.3,4.4,4.5,2950.86,6663.33,,1350.36,1224.84,1534.19,5146.4,3040.76,2548.82
19,2023-10-08T11:39:23.855Z,306356.0407853533,237448.6867386677,1.7,5.6,4.3,1.7,1.69,1.68,5.6,5.5,5.4,4.2,4.1,4.0,3840.4,9158.07,12810.86,1709.08,1480.36,3505.36,635.51,4660.98,4026.87,1.71,1.72,1.73,5.7,5.8,5.9,4.3,4.4,4.5,7260.47,5800.87,14193.32,1207.33,1234.73,1642.02,4561.48,2664.13,3419.89
18,2023-10-08T11:39:42.072Z,306816.5196447224,240845.56428808157,1.71,5.7,4.3,1.7,1.69,1.68,5.6,5.5,5.4,4.2,4.1,4.0,3833.86,9145.09,13532.88,1719.47,1480.36,2883.66,635.51,3444.21,5393.95,1.71,1.72,1.73,5.7,5.8,5.9,4.3,4.4,4.5,3759.77,9616.85,11648.69,1196.15,1234.73,1676.61,4544.94,2925.25,3431.62
17,2023-10-08T11:41:31.497Z,314354.52292616724,219663.96722751582,1.68,5.8,4.3,1.68,1.67,1.66,5.7,5.6,5.5,4.2,4.1,4.0,3876.55,5473.33,7649.05,1870.89,3470.36,1183.18,2053.7,2931.62,3288.78,1.69,1.7,1.71,5.8,5.9,6.0,4.3,4.4,4.5,4897.7,10212.19,11095.98,124.64,478.02,1634.57,2308.19,3021.7,2532.85
16,2023-10-08T11:42:22.157Z,327063.2379537044,215902.0225632493,1.69,5.8,4.3,1.68,1.67,1.66,5.8,5.7,5.6,4.2,4.1,4.0,4104.94,4966.16,6898.97,963.36,1545.01,3051.93,1574.54,2728.49,2636.61,1.69,1.7,1.71,5.9,6.0,6.2,4.3,4.4,4.5,2657.08,12523.11,9154.72,197.58,1809.56,1470.75,2517.99,3784.17,2459.5
15,2023-10-08T11:43:10.409Z,327645.7025255861,206316.09051350385,1.68,5.9,4.3,1.68,1.67,1.66,5.8,5.7,5.6,4.2,4.1,4.0,2276.05,6092.01,7232.78,963.36,1729.48,2561.33,1736.93,2615.6,1603.68,1.69,1.7,1.71,5.9,6.0,6.2,4.3,4.4,4.5,3455.99,11563.2,9335.66,159.26,1400.02,1864.57,2548.89,2699.22,2811.48
14,2023-10-08T11:44:08.778Z,328559.02077123534,208313.73022278014,1.68,5.9,4.3,1.68,1.67,1.66,5.8,5.7,5.6,4.2,4.1,4.0,1748.36,4451.31,8429.18,993.36,1682.28,2609.72,1590.04,2926.8,1709.88,1.69,1.7,1.71,5.9,6.0,6.2,4.3,4.4,4.5,3723.85,12373.63,8571.11,254.01,1353.43,2026.78,2499.89,2937.27,1925.92
