minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
15,2023-05-27T18:44:07.320Z,47898.88937200722,180693.1806176479,1.33,1.32,1329.7,1.33,6664.34,1.31,6964.85,1.34,3494.73,1.3,4494.07,1.35,2905.68,11.0,10.5,351.87,11.0,223.84,10.0,414.38,11.5,267.65,9.8,240.99,12.0,246.31,6.6,6.4,209.77,6.8,448.38,6.2,1228.87,7.0,560.07,6.0,1680.21,,
14,2023-05-27T18:44:07.320Z,47898.88937200722,181188.15988550763,1.33,1.32,1329.7,1.33,6664.34,1.31,6964.68,1.34,3494.73,1.3,4494.07,1.35,2905.68,11.0,10.5,351.87,11.0,223.84,10.0,414.38,11.5,267.65,9.8,240.99,12.0,246.31,6.6,6.4,209.77,6.8,448.38,6.2,1228.87,7.0,560.07,6.0,1688.41,,
13,2023-05-27T18:45:59.700Z,48437.066369908505,183806.2093732732,1.33,1.32,1977.86,1.33,6608.19,1.31,4727.77,1.34,4278.59,1.3,5558.42,1.35,3356.56,11.0,10.5,261.06,11.0,117.09,10.0,472.47,11.5,267.65,9.8,151.3,12.0,245.98,6.6,6.4,260.51,6.8,442.43,6.2,1149.83,7.0,632.85,6.0,1764.98,,
12,2023-05-27T18:46:13.869Z,48570.78637693401,183740.4556147725,1.32,1.32,1911.0,1.33,6608.19,1.31,4727.77,1.34,4278.59,1.3,5558.42,1.35,3472.9,11.0,10.5,276.02,11.0,117.09,10.0,472.47,11.5,267.65,9.8,151.3,12.0,245.98,6.6,6.4,260.51,6.8,429.45,6.2,1149.83,7.0,632.85,6.0,1764.98,,
11,2023-05-27T18:47:16.456Z,49016.9328931338,188044.1173890713,1.33,1.32,1365.7,1.33,6872.79,1.31,5517.25,1.34,4540.11,1.3,5465.65,1.35,3264.86,11.0,10.5,342.93,11.0,155.73,10.0,350.89,11.5,135.37,9.8,296.96,12.0,355.28,6.6,6.4,224.18,6.8,531.12,6.2,930.98,7.0,639.67,,,7.2,233.47
10,2023-05-27T18:47:16.456Z,49016.9328931338,188044.1173890713,1.33,1.32,1365.7,1.33,6872.79,1.31,5517.25,1.34,4540.11,1.3,5465.65,1.35,3264.86,11.0,10.5,342.93,11.0,155.73,10.0,350.89,11.5,135.37,9.8,296.96,12.0,355.28,6.6,6.4,224.18,6.8,531.12,6.2,930.98,7.0,639.67,,,7.2,233.47
9,2023-05-27T18:49:56.894Z,49346.19844884817,186508.79609893743,1.32,1.32,1528.45,1.33,6676.46,1.31,4746.17,1.34,4390.96,1.3,5507.16,1.35,3567.68,11.0,10.5,367.67,11.0,125.92,10.0,374.54,11.5,135.67,9.8,153.39,12.0,345.84,6.6,6.4,161.55,6.8,354.75,6.2,920.7,7.0,641.4,6.0,2013.22,,
8,2023-05-27T18:50:38.626Z,49568.6499000805,186743.8566789573,1.32,1.32,1220.77,1.33,6681.02,1.31,5255.45,1.34,4437.67,1.3,5485.53,1.35,3567.25,11.0,10.5,376.49,11.0,171.92,10.0,351.2,11.5,135.67,9.8,221.21,12.0,348.62,6.6,6.4,167.93,6.8,391.78,6.2,1001.09,7.0,656.84,6.0,1929.89,7.2,306.89
7,2023-05-27T18:51:20.373Z,50778.946220598125,184596.7817648813,1.33,1.32,1269.57,1.33,5509.45,1.31,5282.18,1.34,4297.67,1.3,5499.07,1.35,3710.27,11.0,10.5,366.25,11.0,171.23,10.0,493.49,11.5,135.67,9.8,215.75,12.0,352.84,6.6,6.4,155.3,6.8,405.05,6.2,1001.09,7.0,643.08,6.0,1676.65,7.2,281.79
6,2023-05-27T18:51:20.373Z,50778.946220598125,184596.7817648813,1.33,1.32,1269.57,1.33,5509.45,1.31,5282.18,1.34,4297.67,1.3,5499.07,1.35,3710.27,11.0,10.5,366.25,11.0,171.23,10.0,493.49,11.5,135.67,9.8,215.75,12.0,352.84,6.6,6.4,155.3,6.8,405.05,6.2,1001.09,7.0,643.08,6.0,1676.65,7.2,281.79
