minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,away_last_price_traded,draw_last_price_traded,home_back_1_price,home_back_2_price,home_back_3_price,away_back_1_price,away_back_2_price,away_back_3_price,draw_back_1_price,draw_back_2_price,draw_back_3_price,home_back_1_size,home_back_2_size,home_back_3_size,away_back_1_size,away_back_2_size,away_back_3_size,draw_back_1_size,draw_back_2_size,draw_back_3_size,home_lay_1_price,home_lay_2_price,home_lay_3_price,away_lay_1_price,away_lay_2_price,away_lay_3_price,draw_lay_1_price,draw_lay_2_price,draw_lay_3_price,home_lay_1_size,home_lay_2_size,home_lay_3_size,away_lay_1_size,away_lay_2_size,away_lay_3_size,draw_lay_1_size,draw_lay_2_size,draw_lay_3_size
12,2023-10-01T18:44:33.683Z,870059.5032650486,523709.8692202007,1.35,12.0,5.9,1.34,1.33,1.32,11.5,11.0,10.5,5.8,5.7,5.6,28148.36,37647.4,32737.22,2421.24,2558.31,2569.18,1958.95,2576.92,7879.42,1.35,1.36,1.37,12.0,12.5,13.0,5.9,6.0,6.2,23643.4,49140.96,40297.45,1915.53,2926.9,2912.44,393.81,7014.9,5972.82
11,2023-10-01T18:47:54.859Z,919645.9379529486,521248.65806786186,1.35,12.0,5.8,1.35,1.34,1.33,11.5,11.0,10.5,5.7,5.6,,12320.68,34541.62,37049.31,2633.53,2094.23,2649.14,2649.99,3438.73,,1.36,1.37,1.38,12.0,12.5,13.0,5.9,6.0,6.2,43086.32,34784.52,21141.69,2869.49,1994.92,1641.67,4886.4,4578.76,8128.65
10,2023-10-01T18:48:40.741Z,943753.869433835,517240.9345575825,1.35,12.0,5.8,1.35,1.34,1.33,11.5,11.0,10.5,5.7,5.6,,3897.86,35884.38,36732.34,2633.53,2352.02,2606.15,2606.93,3563.76,,1.36,1.37,1.38,12.0,12.5,13.0,5.9,6.0,6.2,39239.22,32974.34,22407.35,1911.87,1995.79,2438.15,3081.72,6684.87,8143.22
9,2023-10-01T18:47:32.027Z,919142.3223194344,512565.61129676,1.36,12.0,5.8,1.35,1.34,1.33,11.5,11.0,10.5,5.8,5.7,5.6,8451.7,36746.31,38948.02,2632.32,2209.66,2500.08,196.63,2434.53,3438.73,1.36,1.37,1.38,12.0,12.5,13.0,5.9,6.0,6.2,41436.06,34826.35,20776.21,2578.89,1872.65,1915.31,3963.99,5446.97,8309.76
8,2023-10-01T18:48:52.562Z,944143.1164809663,517495.48395270965,1.35,12.0,5.8,1.35,1.34,1.33,11.5,11.0,10.5,5.7,5.6,,3743.26,35884.38,36721.07,2633.53,2358.85,2606.15,2579.64,3563.76,,1.36,1.37,1.38,12.0,12.5,13.0,5.9,6.0,6.2,39100.95,33504.32,22407.35,1893.23,1995.79,2442.19,3046.34,6719.65,8108.64
7,2023-10-01T18:50:03.237Z,947714.725904943,519842.6024084515,1.34,12.0,5.7,1.34,1.33,1.32,11.5,11.0,10.5,5.7,5.6,5.5,36719.83,32522.28,30987.5,3228.22,2850.12,1883.42,2572.75,5796.81,2676.4,1.35,1.36,1.37,12.0,12.5,13.0,5.8,5.9,6.0,6915.07,43571.92,31227.13,1338.11,1896.13,2885.01,567.91,912.28,8046.75
6,2023-10-01T18:53:03.651Z,955437.9810234921,534931.5332166057,1.35,12.0,5.8,1.34,1.33,1.32,11.5,11.0,10.5,5.7,5.6,5.5,35540.01,33029.03,31004.5,3139.29,2657.27,1906.83,2779.52,5436.52,2657.83,1.35,1.36,1.37,12.0,12.5,13.0,5.8,5.9,6.0,4709.21,43056.37,28919.46,1161.56,1896.03,3113.74,403.56,861.21,8169.94
5,2023-10-01T18:53:29.285Z,955681.212319882,534566.3598396754,1.34,12.0,5.8,1.34,1.33,1.32,11.5,11.0,10.5,5.7,5.6,5.5,35648.46,31599.98,32376.27,3136.04,2538.43,1905.99,2779.52,5400.96,2467.41,1.35,1.36,1.37,12.0,12.5,13.0,5.8,5.9,6.0,4568.21,43701.72,28715.53,1057.69,1983.96,3028.48,398.95,861.21,8182.17
4,2023-10-01T18:54:55.265Z,979516.2636606126,510765.515415842,1.34,12.0,5.8,1.34,1.33,1.32,11.5,11.0,10.5,5.7,5.6,5.5,28272.77,31815.02,23526.13,2855.67,2382.65,2591.63,2761.52,5369.68,5545.9,1.35,1.36,1.37,12.0,12.5,13.0,5.8,5.9,6.0,20184.8,37187.17,27483.36,1028.59,1941.25,2998.4,117.72,750.0,7779.66
3,2023-10-01T18:56:02.342Z,998033.3860878902,523606.73855336144,1.34,12.0,6.0,1.34,1.33,1.32,11.5,11.0,10.5,5.9,5.8,5.7,26560.54,29023.09,18452.59,2712.67,2096.34,2579.61,653.67,1779.07,2700.99,1.35,1.36,1.37,12.0,12.5,13.0,6.0,6.2,6.4,24537.57,45505.18,26862.32,1395.57,2847.78,3110.51,7110.98,4926.21,6081.88
