minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
180,2023-05-06T10:27:42.976Z,38618.46494276157,98013.19061989,3.3,3.25,1388.27,3.35,438.22,3.2,1914.06,3.4,744.68,3.15,1466.58,3.45,825.3,2.5,2.5,126.16,2.52,1700.51,2.48,304.78,2.54,2066.01,2.46,561.63,2.56,2067.84,3.4,3.35,127.76,3.4,428.86,3.3,1879.49,3.45,556.15,3.25,952.09,3.5,1581.46
179,2023-05-06T10:29:28.095Z,38627.04445676157,97968.35983270018,3.3,3.25,1383.48,3.35,446.46,3.2,1929.04,3.4,748.23,3.15,1464.22,3.45,821.8,2.5,2.5,121.26,2.52,1700.41,2.48,304.78,2.54,2216.89,2.46,561.63,2.56,3448.88,3.35,3.35,127.72,3.4,425.29,3.3,1879.49,3.45,556.19,3.25,961.48,3.5,1581.4
178,2023-05-06T10:29:28.095Z,38627.04445676157,97968.35983270018,3.3,3.25,1383.48,3.35,446.46,3.2,1929.04,3.4,748.23,3.15,1464.22,3.45,821.8,2.5,2.5,121.26,2.52,1700.41,2.48,304.78,2.54,2216.89,2.46,561.63,2.56,3448.88,3.35,3.35,127.72,3.4,425.29,3.3,1879.49,3.45,556.19,3.25,961.48,3.5,1581.4
177,2023-05-06T10:29:28.095Z,38627.04445676157,97922.26314634435,3.3,3.25,1160.13,3.35,475.94,3.2,1675.44,3.4,719.09,3.15,1810.94,3.45,1496.12,2.5,2.5,121.26,2.52,1700.41,2.48,476.21,2.54,1985.44,2.46,388.95,2.56,2845.58,3.35,3.35,127.72,3.4,425.29,3.3,1881.45,3.45,556.19,3.25,984.93,3.5,1594.66
176,2023-05-06T10:31:42.675Z,38874.06256821583,96673.47931043214,3.3,3.25,1487.36,3.35,206.29,3.2,1689.39,3.4,866.85,3.15,1469.35,3.45,529.21,2.5,2.48,236.01,2.5,102.03,2.46,240.49,2.52,1971.85,2.44,477.39,2.54,2548.79,3.35,3.35,127.72,3.4,304.33,3.3,1956.78,3.45,596.15,3.25,939.19,3.5,1105.58
175,2023-05-06T10:32:09.416Z,39602.76438821582,96750.39958805691,3.35,3.3,222.6,3.35,134.24,3.25,889.7,3.4,414.32,3.2,2135.02,3.45,921.84,2.48,2.46,481.04,2.5,301.7,2.44,799.36,2.52,1737.61,2.42,1008.35,2.54,2451.58,3.35,3.35,127.72,3.4,247.85,3.3,1994.05,3.45,703.24,3.25,803.83,3.5,1325.46
174,2023-05-06T10:32:09.416Z,39602.76438821582,97295.26940365772,3.35,3.3,224.64,3.35,134.24,3.25,904.21,3.4,423.14,3.2,2135.02,3.45,913.15,2.48,2.46,468.85,2.5,301.7,2.44,811.65,2.52,1736.41,2.42,1008.35,2.54,2455.42,3.35,3.35,127.72,3.4,247.85,3.3,1994.05,3.45,704.85,3.25,803.83,3.5,1314.97
173,2023-05-06T10:32:09.416Z,39602.76438821582,97295.26940365772,3.35,3.3,224.64,3.35,134.24,3.25,904.21,3.4,423.14,3.2,2135.02,3.45,913.15,2.48,2.46,468.85,2.5,301.7,2.44,811.65,2.52,1736.41,2.42,1008.35,2.54,2455.42,3.35,3.35,127.72,3.4,247.85,3.3,1994.05,3.45,704.85,3.25,803.83,3.5,1314.97
172,2023-05-06T10:35:48.229Z,39605.01918821582,97108.42720660583,3.35,3.3,225.32,3.35,137.65,3.25,914.06,3.4,423.14,3.2,2127.6,3.45,912.34,2.46,2.46,467.72,2.5,302.59,2.44,816.33,2.52,1736.41,2.42,1011.04,2.54,2455.42,3.35,3.35,128.38,3.4,253.13,3.3,1996.84,3.45,699.58,3.25,801.0,3.5,1314.18
171,2023-05-06T10:35:48.229Z,39605.01918821582,97108.42720660583,3.35,3.3,225.32,3.35,137.65,3.25,914.06,3.4,423.14,3.2,2127.6,3.45,912.34,2.46,2.46,467.72,2.5,302.59,2.44,816.33,2.52,1736.41,2.42,1011.04,2.54,2455.42,3.35,3.35,128.38,3.4,253.13,3.3,1996.84,3.45,699.58,3.25,801.0,3.5,1314.18
