minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,away_last_price_traded,draw_last_price_traded,home_back_1_price,home_back_2_price,home_back_3_price,away_back_1_price,away_back_2_price,away_back_3_price,draw_back_1_price,draw_back_2_price,draw_back_3_price,home_back_1_size,home_back_2_size,home_back_3_size,away_back_1_size,away_back_2_size,away_back_3_size,draw_back_1_size,draw_back_2_size,draw_back_3_size,home_lay_1_price,home_lay_2_price,home_lay_3_price,away_lay_1_price,away_lay_2_price,away_lay_3_price,draw_lay_1_price,draw_lay_2_price,draw_lay_3_price,home_lay_1_size,home_lay_2_size,home_lay_3_size,away_lay_1_size,away_lay_2_size,away_lay_3_size,draw_lay_1_size,draw_lay_2_size,draw_lay_3_size
147,2023-10-01T10:29:26.254Z,27681.34203343403,72142.72238953607,2.08,4.1,3.65,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,665.74,433.81,3410.75,811.2,325.47,609.43,698.51,586.08,1435.75,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,996.29,2025.12,1642.94,701.19,908.74,1066.11,136.0,359.89,1569.72
146,2023-10-01T10:29:26.254Z,27681.34203343403,72053.3967769148,2.08,4.1,3.65,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,665.74,228.49,3617.77,811.2,323.53,609.43,698.51,586.08,1435.75,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,996.29,2025.12,1642.94,701.19,897.17,1077.44,136.0,359.89,1569.72
145,2023-10-01T10:31:42.267Z,27687.378125338444,72939.72698262261,2.08,4.1,3.65,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,662.72,433.5,3410.75,939.19,327.99,607.86,698.51,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1221.02,2025.12,1841.07,700.85,908.59,1067.71,136.0,359.89,1568.05
144,2023-10-01T10:31:42.267Z,27687.378125338444,72927.71722670493,2.08,4.1,3.65,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,228.49,3617.78,939.19,327.99,605.67,698.51,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1221.02,2025.12,1939.75,701.22,898.26,1077.45,136.0,359.89,1566.19
143,2023-10-01T10:36:41.256Z,27689.33269668195,73850.1532614825,2.08,4.1,3.6,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,228.49,3617.78,939.19,327.99,601.73,697.53,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1221.02,2023.45,1892.06,701.22,897.44,1077.45,136.0,359.89,1566.19
142,2023-10-01T10:31:42.267Z,27687.378125338444,73901.8261803726,2.08,4.1,3.65,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,228.49,3617.78,939.19,327.99,601.73,698.51,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1221.02,2025.12,1939.75,701.22,898.26,1077.45,136.0,359.89,1566.19
141,2023-10-01T10:36:41.256Z,27689.33269668195,73850.1532614825,2.08,4.1,3.6,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,228.49,3617.78,939.19,327.99,601.73,697.53,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1221.02,2023.45,1892.06,701.22,897.44,1077.45,136.0,359.89,1566.19
140,2023-10-01T10:36:41.256Z,27689.33269668195,73850.1532614825,2.08,4.1,3.6,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,228.49,3617.78,939.19,327.99,601.73,697.53,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1221.02,2023.45,1892.06,701.22,897.44,1077.45,136.0,359.89,1566.19
139,2023-10-01T10:37:40.015Z,27700.416221681953,73264.44050641169,2.1,4.1,3.6,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,394.45,3617.78,1048.92,327.99,601.73,697.53,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1286.94,2023.45,2097.17,701.22,897.44,1077.45,136.0,359.89,1566.19
138,2023-10-01T10:37:40.015Z,27700.416221681953,73264.67287621525,2.1,4.1,3.6,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,394.45,3617.78,1048.92,327.99,601.73,697.53,586.08,1437.13,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1286.94,2023.45,2097.17,701.22,897.44,1077.45,136.0,359.89,1566.19
137,2023-10-01T10:40:19.831Z,27724.829236510348,73745.44919221722,2.1,4.1,3.6,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,663.48,394.45,3617.78,1048.92,323.51,603.3,685.32,586.08,1561.6,2.1,2.12,2.14,4.2,4.3,4.4,3.65,3.7,3.75,1286.94,1999.84,2112.29,804.95,889.88,1074.85,136.0,359.89,1566.19
136,2023-10-01T10:43:19.458Z,28263.980988831976,73925.6309187455,2.08,4.1,3.65,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,561.45,394.45,3623.18,1018.73,328.79,599.43,726.72,676.92,1561.6,2.1,2.12,2.14,4.2,4.3,,3.7,3.75,3.8,1320.36,2070.13,2220.88,833.08,971.24,,442.99,1460.94,342.4
135,2023-10-01T10:43:19.458Z,28263.980988831976,73924.52949587932,2.08,4.1,3.65,2.08,2.06,2.04,4.0,3.95,3.9,3.6,3.55,3.5,561.45,394.45,3623.18,1018.73,328.79,599.43,726.72,676.92,1561.6,2.1,2.12,2.14,4.2,4.3,,3.7,3.75,3.8,1320.36,2070.13,2220.88,833.08,971.24,,442.99,1460.94,342.4
