minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,away_last_price_traded,draw_last_price_traded,home_back_1_price,home_back_2_price,home_back_3_price,away_back_1_price,away_back_2_price,away_back_3_price,draw_back_1_price,draw_back_2_price,draw_back_3_price,home_back_1_size,home_back_2_size,home_back_3_size,away_back_1_size,away_back_2_size,away_back_3_size,draw_back_1_size,draw_back_2_size,draw_back_3_size,home_lay_1_price,home_lay_2_price,home_lay_3_price,away_lay_1_price,away_lay_2_price,away_lay_3_price,draw_lay_1_price,draw_lay_2_price,draw_lay_3_price,home_lay_1_size,home_lay_2_size,home_lay_3_size,away_lay_1_size,away_lay_2_size,away_lay_3_size,draw_lay_1_size,draw_lay_2_size,draw_lay_3_size
147,2023-09-30T11:29:43.926Z,258286.94043355022,366043.51777963166,1.37,10.5,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4664.42,7075.91,4058.18,1017.56,246.55,366.52,340.28,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5232.43,10641.96,5276.53,608.08,1703.94,2026.07,2279.74,897.95,4004.38
146,2023-09-30T11:32:51.940Z,259325.44813230674,365703.4274700319,1.38,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4384.36,7046.67,4098.88,989.35,245.57,364.9,263.15,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5109.6,10641.96,5376.63,565.48,1703.94,2031.6,2214.71,897.95,4006.83
145,2023-09-30T11:32:51.940Z,259325.44813230674,365488.81423855067,1.38,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4384.36,7046.67,4098.88,989.35,245.57,364.9,263.15,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5109.6,10328.76,5376.63,565.48,1703.94,2031.6,2214.71,897.95,4006.83
144,2023-09-30T11:32:51.940Z,259325.44813230674,365703.4274700319,1.38,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4384.36,7046.67,4098.88,989.35,245.57,364.9,263.15,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5109.6,10641.96,5376.63,565.48,1703.94,2031.6,2214.71,897.95,4006.83
143,2023-09-30T11:35:15.075Z,259873.63598805582,364351.4639383625,1.38,10.5,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4747.37,7028.87,3090.4,983.85,246.55,363.59,251.63,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5049.76,10641.78,5403.02,556.81,1703.94,2080.66,2064.15,897.95,4006.83
142,2023-09-30T11:34:49.891Z,259721.48660164102,364684.3115600315,1.37,10.0,5.9,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4382.0,7046.67,3243.77,995.37,246.55,366.52,263.15,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5109.6,10641.78,5437.6,565.48,1703.94,2031.32,2018.5,897.95,4006.83
141,2023-09-30T11:37:25.756Z,259962.72793029028,367569.9090764367,1.38,10.5,5.9,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4713.17,7907.79,4515.14,983.85,246.55,366.52,251.63,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5032.93,11150.97,4894.58,763.17,1703.94,2076.59,2032.24,738.91,4279.07
140,2023-09-30T11:37:25.756Z,259962.72793029028,367573.52663639537,1.38,10.5,5.9,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4713.17,7907.79,4515.14,983.85,246.55,366.52,251.63,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,5032.93,11150.97,4894.58,763.17,1703.94,2076.59,2032.24,738.91,4279.07
139,2023-09-30T11:38:44.498Z,260007.6753453029,367200.1789337419,1.38,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4713.07,7877.82,4516.81,960.21,246.55,366.52,220.81,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4902.2,11150.97,4853.41,746.15,1703.94,2092.12,2025.3,738.91,4263.5
138,2023-09-30T11:38:44.498Z,260007.6753453029,367236.98904948775,1.38,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4713.07,7907.82,4486.59,960.21,246.55,366.52,220.81,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4902.2,11150.97,4853.41,746.15,1703.94,2092.12,2032.22,738.91,4263.5
137,2023-09-30T11:39:49.425Z,260162.20436321953,367211.14614827285,1.37,10.5,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4636.91,7877.82,5346.62,960.21,246.55,366.52,220.81,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4902.1,11150.97,4853.41,852.84,1703.94,2083.04,2007.62,738.91,4278.16
136,2023-09-30T11:43:04.286Z,260451.26545426695,366429.45590595034,1.38,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4631.06,7874.91,5186.5,941.54,246.55,363.59,129.97,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4635.36,10015.63,5507.06,781.7,1703.94,1956.08,2005.59,738.91,4251.51
135,2023-09-30T11:42:23.640Z,260426.8699366298,366479.94994931057,1.38,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4631.06,7877.82,5183.57,947.3,246.55,363.59,135.73,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4635.36,10039.68,5524.35,784.88,1703.94,1953.17,2006.26,738.91,4260.8
134,2023-09-30T11:43:21.218Z,260453.57045426694,366491.01911116944,1.38,10.5,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.8,5.7,5.6,4631.06,7874.91,5743.29,941.54,246.55,363.59,129.97,172.06,493.22,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4635.36,10015.63,5507.06,853.28,1703.94,1956.08,2005.59,738.91,4251.51
133,2023-09-30T11:45:17.988Z,261247.9904318317,365283.41042804654,1.38,10.5,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.7,5.6,,4630.96,7874.91,5653.65,941.54,246.82,363.59,227.99,493.22,,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4323.82,9404.31,6115.89,800.86,1703.94,1993.41,2005.57,738.91,4251.53
132,2023-09-30T11:45:52.638Z,261362.68070732572,365324.7164124364,1.37,10.5,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.7,5.6,,4617.71,7874.91,5653.65,1012.85,246.82,363.59,212.89,493.22,,1.38,1.39,1.4,10.5,11.0,11.5,5.9,6.0,6.2,4294.82,9341.31,6427.52,792.52,1703.94,1999.45,2002.49,738.91,4279.07
131,2023-09-30T11:47:33.031Z,268691.7425180299,365946.92088963033,1.37,10.0,5.8,1.37,1.36,1.35,10.0,9.8,9.6,5.7,5.6,5.5,5141.55,10025.34,3872.96,950.64,237.82,620.22,166.91,434.45,986.03,1.38,1.39,1.4,10.5,11.0,11.5,5.8,5.9,6.0,2707.02,8885.29,6427.52,769.97,1671.36,2024.59,426.12,2181.45,803.49
