minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
15,2023-05-27T18:44:32.203Z,24993.26828452366,94230.99403264667,2.48,2.44,1960.13,2.48,517.77,2.42,4706.7,2.5,1123.95,2.4,4592.36,,,3.05,3.05,639.05,3.1,1273.15,3.0,824.96,3.15,3879.5,2.98,969.78,3.2,1953.43,3.75,3.7,481.74,3.8,869.68,3.65,1371.61,3.85,408.58,,,3.9,871.45
14,2023-05-27T18:42:15.608Z,23472.7572200348,96428.80476356612,2.46,2.46,116.9,2.48,437.03,2.44,3204.99,2.5,463.9,2.42,4467.0,2.52,456.76,3.0,3.0,776.53,3.05,461.12,2.98,483.58,3.1,1750.94,2.96,607.99,3.15,2895.63,3.75,3.75,166.31,3.8,406.54,3.7,633.17,3.85,519.07,3.65,1111.29,3.9,1050.58
13,2023-05-27T18:45:47.388Z,25526.65553715214,96017.44240599006,2.48,2.44,2305.06,2.48,369.54,2.42,5332.95,2.5,715.05,2.4,4434.22,2.52,757.61,3.1,3.05,611.85,3.1,1638.95,3.0,859.07,3.15,3613.0,2.98,771.12,3.2,2223.49,3.8,3.7,487.98,3.8,1037.38,3.65,1267.0,3.85,408.58,,,3.9,1087.25
12,2023-05-27T18:46:43.214Z,25627.102025842665,96086.5893246238,2.44,2.44,2304.84,2.48,369.54,2.42,5557.49,2.5,716.7,2.4,4269.9,2.52,832.56,3.1,3.05,675.13,3.1,1759.76,3.0,345.9,3.15,3615.99,2.98,771.12,3.2,2222.24,3.8,3.7,489.09,3.8,1112.75,3.65,1267.0,3.85,408.58,,,3.9,723.25
11,2023-05-27T18:47:34.674Z,25627.700337842667,96177.56296047864,2.48,2.44,2329.0,2.48,411.81,2.42,5579.04,2.5,738.57,2.4,4295.23,2.52,911.25,3.1,3.05,722.09,3.1,1759.76,3.0,345.9,3.15,3615.99,2.98,806.3,3.2,2219.66,3.8,3.7,489.09,3.8,1140.63,3.65,1295.72,3.85,408.58,,,3.9,723.25
10,2023-05-27T18:49:37.981Z,26506.24509108752,100105.03366802016,2.5,2.48,3480.2,2.5,863.86,2.44,3417.43,2.52,526.51,,,2.54,637.92,3.05,3.05,736.31,3.1,3585.97,3.0,432.41,3.15,2340.93,2.98,484.79,3.2,668.64,3.75,3.7,493.58,3.75,801.99,3.65,953.1,3.8,688.91,3.6,1342.6,3.85,837.95
9,2023-05-27T18:47:34.674Z,25627.700337842667,96285.71698689116,2.48,2.44,2329.0,2.48,445.78,2.42,5579.04,2.5,876.5,2.4,4295.23,2.52,849.88,3.1,3.05,784.44,3.1,1759.76,3.0,345.9,3.15,3619.37,2.98,834.57,3.2,2218.25,3.8,3.7,582.29,3.8,1178.89,3.65,1225.6,3.85,408.58,,,3.9,723.25
8,2023-05-27T18:51:25.373Z,31104.48652761676,98659.72674959005,2.52,2.5,1879.26,2.52,387.38,2.46,462.62,2.54,739.79,,,2.56,426.85,3.05,3.0,318.69,3.1,2010.57,2.98,512.76,3.15,2985.78,2.96,381.59,,,3.7,3.65,789.12,3.7,113.79,3.6,1261.78,3.75,346.52,3.55,806.83,3.8,858.84
7,2023-05-27T18:51:25.373Z,31104.48652761676,98607.91639944816,2.52,2.5,1879.26,2.52,361.75,2.46,520.62,2.54,731.69,,,2.56,489.97,3.05,3.0,362.32,3.1,2112.85,2.98,496.68,3.15,2873.54,2.96,386.16,,,3.7,3.65,885.98,3.7,119.39,3.6,1261.78,3.75,423.9,3.55,749.63,3.8,746.23
6,2023-05-27T18:53:29.829Z,31440.43813791552,100418.7701104392,2.5,2.5,1917.35,2.52,465.75,2.46,495.33,2.54,821.1,,,2.56,971.12,3.0,3.0,644.71,3.05,168.44,2.98,199.57,3.1,1874.94,2.96,504.58,3.15,3118.57,3.7,3.65,1040.46,3.75,810.41,3.6,1356.15,3.8,484.55,3.55,618.27,3.85,602.11
