minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
15,2023-05-27T18:42:08.704Z,74444.10172631028,173081.64619381464,1.17,1.17,479.82,1.18,9028.32,1.16,16566.21,1.19,5664.06,1.15,17934.58,1.2,5030.71,26.0,24.0,179.47,26.0,713.9,23.0,109.98,27.0,216.67,,,28.0,49.04,9.4,9.2,183.61,9.4,251.85,8.8,205.64,9.6,319.07,,,9.8,146.98
14,2023-05-27T18:42:08.704Z,74444.10172631028,174130.06696707645,1.17,1.17,1160.67,1.18,9256.72,1.16,25662.3,1.19,5654.48,1.15,8863.48,1.2,5107.44,26.0,24.0,181.77,26.0,713.9,23.0,109.98,27.0,216.67,,,28.0,77.49,9.4,9.2,183.61,9.4,251.85,8.8,209.1,9.6,402.05,,,9.8,129.08
13,2023-05-27T18:43:34.657Z,75196.08648902987,174317.65718622648,1.17,1.17,796.44,1.18,9667.16,1.16,25353.04,1.19,5943.58,1.15,8860.29,1.2,4863.88,26.0,24.0,183.17,26.0,713.9,23.0,107.21,27.0,216.67,,,28.0,62.27,9.4,9.2,213.75,9.4,231.85,8.8,232.64,9.6,357.66,,,9.8,146.98
12,2023-05-27T18:45:00.929Z,86107.86560590327,173189.79852232113,1.17,1.17,657.83,1.18,9909.96,1.16,23414.74,1.19,7172.82,1.15,9144.92,1.2,3900.68,25.0,24.0,157.91,26.0,459.41,23.0,131.1,27.0,222.35,,,28.0,29.17,9.6,9.2,276.18,9.6,173.0,9.0,114.91,10.0,451.51,,,,
11,2023-05-27T18:47:37.776Z,87259.50788495544,179888.03988901252,1.17,1.17,105.63,1.18,11229.65,1.16,25025.89,1.19,8941.61,1.15,9327.34,1.2,3931.52,25.0,24.0,209.47,25.0,175.81,23.0,183.92,26.0,340.14,22.0,111.72,27.0,223.25,9.6,9.4,192.89,9.6,169.41,9.2,185.39,9.8,106.5,9.0,197.47,10.0,447.92
10,2023-05-27T18:47:20.358Z,86994.96586080757,181060.96397955183,1.18,1.17,231.27,1.18,12072.9,1.16,25022.95,1.19,8941.42,1.15,9330.31,1.2,3400.04,25.0,24.0,213.04,25.0,182.44,23.0,183.71,26.0,345.8,22.0,111.72,27.0,223.25,9.6,9.4,192.89,9.6,169.41,9.2,293.54,9.8,121.5,9.0,197.47,10.0,447.92
9,2023-05-27T18:50:04.895Z,87763.06832163906,185674.08387554652,1.17,1.17,1641.34,1.18,11364.73,1.16,18021.76,1.19,8324.36,1.15,8274.41,1.2,5181.82,24.0,24.0,199.18,25.0,179.05,23.0,186.41,26.0,199.84,22.0,115.5,27.0,220.89,9.4,9.2,259.93,9.6,276.76,9.0,346.9,9.8,350.28,8.8,767.3,10.0,491.64
8,2023-05-27T18:49:03.426Z,87331.9892740925,177839.82814858502,1.17,1.16,25077.02,1.18,12969.0,1.15,6865.84,1.19,7611.65,,,1.2,4075.16,25.0,24.0,224.05,25.0,165.24,23.0,190.31,26.0,339.14,22.0,105.12,27.0,222.07,9.6,9.4,219.36,9.6,161.06,9.2,185.39,9.8,106.44,9.0,268.81,10.0,447.92
7,2023-05-27T18:50:04.895Z,87763.06832163906,188412.23660623893,1.17,1.17,1641.34,1.18,11374.13,1.16,19096.43,1.19,8888.33,1.15,8629.87,1.2,5241.02,24.0,24.0,178.03,25.0,179.05,23.0,212.57,26.0,335.39,22.0,110.7,27.0,220.89,9.4,9.2,259.93,9.6,276.76,9.0,345.9,9.8,350.28,8.8,767.3,10.0,491.64
6,2023-05-27T18:53:11.904Z,89116.44127323748,187787.7970825371,1.17,1.17,1742.2,1.18,11915.58,1.16,16119.59,1.19,8964.17,1.15,10983.66,1.2,4759.43,25.0,24.0,224.35,26.0,299.49,23.0,186.41,27.0,220.9,22.0,102.67,,,9.4,9.2,330.88,9.6,253.85,9.0,283.99,9.8,447.83,,,10.0,378.2
5,2023-05-27T18:53:11.904Z,89116.44127323748,187787.7970825371,1.17,1.17,1742.2,1.18,11915.58,1.16,16119.59,1.19,8964.17,1.15,10983.66,1.2,4759.43,25.0,24.0,224.35,26.0,299.49,23.0,186.41,27.0,220.9,22.0,102.67,,,9.4,9.2,330.88,9.6,253.85,9.0,283.99,9.8,447.83,,,10.0,378.2
4,2023-05-27T18:54:20.494Z,93284.42893009004,191990.4390221768,1.17,1.16,14588.4,1.17,2720.65,1.15,11471.66,1.18,14646.8,1.14,4092.41,1.19,7961.22,25.0,24.0,287.07,26.0,196.84,23.0,245.25,27.0,223.53,22.0,133.95,28.0,70.9,9.4,9.4,252.03,9.6,118.93,9.2,607.49,9.8,142.82,9.0,281.61,10.0,478.01
3,2023-05-27T18:54:09.383Z,89335.51064809006,187518.99322069317,1.17,1.17,1662.86,1.18,11675.6,1.16,14468.82,1.19,8949.38,1.15,12730.35,1.2,4953.79,25.0,24.0,238.59,26.0,226.15,23.0,186.41,27.0,223.54,22.0,102.67,28.0,89.24,9.6,9.2,271.74,9.6,223.65,9.0,281.61,9.8,438.36,,,10.0,378.7
